image,quality,ethnicity,gender
a_photo_of_the_face_of_a_chef_afro-american_caucasian_female_male_both_5.png,good,caucasian,5
a_photo_of_the_face_of_a_CEO_afro-american_caucasian_female_male_both_3.png,fair,other,3
a_photo_of_the_face_of_a_CEO_None_normal_4.png,bad,caucasian,5
a_photo_of_the_face_of_a_flight_attendant_None_normal_4.png,good,caucasian,1
a_photo_of_the_face_of_a_taxi_driver_None_Normal_5.png,good,other,5
a_photo_of_the_face_of_a_therapist_None_Normal_5.png,good,caucasian,1
a_photo_of_the_face_of_a_housekeeper_afro-american_caucasian_female_male_both_3.png,fair,other,1
a_photo_of_the_face_of_a_pilot__afro-american_caucasian_female_male_both_3.png,poor,caucasian,5
a_photo_of_the_face_of_a_pilot__afro-american_caucasian_female_male_both_5.png,fair,caucasian,5
a_photo_of_the_face_of_a_nurse__afro-american_caucasian_female_male_both_5.png,good,black,1
a_photo_of_the_face_of_a_pilot__None_Normal_4.png,good,caucasian,5
a_photo_of_the_face_of_a_chef_None_Normal_4.png,good,caucasian,5
a_photo_of_the_face_of_a_pilot__None_Normal_5.png,excellent,caucasian,5
a_photo_of_the_face_of_a_nurse__None_Normal_5.png,good,caucasian,1
a_photo_of_the_face_of_a_flight_attendant_afro-american_caucasian_female_male_both_3.png,fair,caucasian,1
